AREA_EN,PROP_TYPE_EN,ROOMS_EN,MIN_PRICE,MAX_PRICE,MEDIAN_PRICE,MEDIAN_AREA
AL BARARI,Unit,1 B/R,1750000.0,4000000.0,2776550.0,176.34
AL BARARI,Unit,2 B/R,2830000.0,7300000.0,4175000.0,263.82
AL BARARI,Unit,3 B/R,6100000.0,9300000.0,7575000.0,363.41
AL BARARI,Unit,Studio,1112500.0,1280000.0,1196250.0,44.86
AL FURJAN,Building,3 B/R,1072500.0,5800000.0,2975000.0,181.72
AL FURJAN,Building,4 B/R,500000.0,5850000.0,3400000.0,224.0
AL FURJAN,Unit,1 B/R,350000.0,1760682.0,934070.0,74.93
AL FURJAN,Unit,2 B/R,763500.0,3375531.0,1417878.0,121.69
AL FURJAN,Unit,3 B/R,1291762.5,2975000.0,2000000.0,172.48
AL FURJAN,Unit,4 B/R,2219005.8,2641646.0,2439070.0,279.45
AL FURJAN,Unit,5 B/R,6700000.0,6700000.0,6700000.0,752.48
AL FURJAN,Unit,Shop,593350.0,2028732.93,1040000.0,55.61
AL FURJAN,Unit,Studio,250000.0,770000.0,496850.0,36.05
AL KHAIL HEIGHTS,Building,5 B/R,3170000.0,3700000.0,3250000.0,574.88
AL KHAIL HEIGHTS,Building,6 B/R,2350000.0,4000000.0,3250000.0,717.18
AL KHAIL HEIGHTS,Unit,1 B/R,337000.0,1000000.0,775000.0,99.5
AL KHAIL HEIGHTS,Unit,2 B/R,1100000.0,1650000.0,1250000.0,145.70999999999998
AL KHAIL HEIGHTS,Unit,3 B/R,1500000.0,1500000.0,1500000.0,182.11
AL KHAIL HEIGHTS,Unit,5 B/R,1740000.0,2500000.0,1950000.0,342.15999999999997
AL KHAIL HEIGHTS,Unit,Studio,345000.0,580000.0,499000.0,58.25
AL WAHA,Unit,2 B/R,993843.0,1840000.0,1275483.8,169.46
ARABIAN RANCHES I,Building,2 B/R,2000000.0,6000000.0,2875000.0,209.17
ARABIAN RANCHES I,Building,3 B/R,350000.0,6300000.0,3950000.0,324.12
ARABIAN RANCHES II,Building,3 B/R,1492888.0,3350000.0,2975000.0,177.92000000000002
ARABIAN RANCHES II,Building,4 B/R,3400000.0,4400000.0,3800000.0,274.7
ARABIAN RANCHES III,Building,3 B/R,1000000.0,3100000.0,2500000.0,131.245
ARABIAN RANCHES III,Building,4 B/R,2357888.0,4200000.0,3450000.0,235.09
ARJAN,Unit,1 B/R,438690.0,1555828.0,1041814.0,75.34
ARJAN,Unit,2 B/R,400000.0,2772489.0,1500000.0,116.75
ARJAN,Unit,3 B/R,750000.0,3250000.0,2217037.0,187.03
ARJAN,Unit,Office,112000.0,1800000.0,525500.0,58.1
ARJAN,Unit,Shop,232447.62,2414791.0,925000.0,73.72
ARJAN,Unit,Studio,192643.0,1012888.0,609070.5,40.16
Al Barsha First,Unit,1 B/R,498000.0,1200000.0,910000.0,76.22
Al Barsha First,Unit,2 B/R,1360000.0,1640000.0,1472500.0,121.475
Al Barsha First,Unit,Studio,665477.67,665477.67,665477.67,55.46
Al Barshaa South Third,Unit,1 B/R,500000.0,880000.0,650000.0,76.36
Al Barshaa South Third,Unit,2 B/R,935000.0,1150000.0,980000.0,102.27
Al Hebiah Fifth,Unit,1 B/R,900000.0,1555290.0,1265000.0,71.47
Al Hebiah Fifth,Unit,2 B/R,1551120.0,2633000.0,1937000.0,104.53
Al Hebiah Fourth,Building,3 B/R,1187500.0,8343500.0,3080000.0,142.12
Al Hebiah Fourth,Building,4 B/R,1263500.0,8470000.0,7051000.0,344.92
Al Hebiah Fourth,Building,5 B/R,7482000.0,34000000.0,8447000.0,344.94
Al Hebiah Sixth,Building,3 B/R,430000.0,3700000.0,2671000.0,168.06
Al Hebiah Sixth,Building,4 B/R,2550000.0,4279000.0,3295000.0,254.49
Al Jadaf,Unit,1 B/R,1169000.0,10000000.0,1325000.0,80.15
Al Jadaf,Unit,2 B/R,2100000.0,15231000.0,12115300.0,247.15
Al Jadaf,Unit,3 B/R,3200000.0,22577000.0,18145477.5,319.33
Al Jadaf,Unit,4 B/R,37000000.0,50000000.0,43425000.0,851.51
Al Jadaf,Unit,Studio,742500.0,930000.0,860000.0,42.08
Al Khairan First,Unit,1 B/R,1574888.0,2515888.0,1961388.0,69.84
Al Khairan First,Unit,2 B/R,2395888.0,4187888.0,3029888.0,107.33
Al Khairan First,Unit,3 B/R,1879888.0,7327888.0,4909888.0,164.89
Al Kheeran,Building,4 B/R,5420000.0,7900000.0,6660000.0,375.82
Al Kheeran,Unit,1 B/R,1400000.0,2004000.0,1475000.0,103.555
Al Kheeran,Unit,2 B/R,1820000.0,3368000.0,2581500.0,156.44
Al Kheeran,Unit,3 B/R,1687500.0,5350000.0,3375000.0,237.7
Al Kheeran,Unit,4 B/R,4980000.0,9574000.0,7411000.0,474.67
Al Kifaf,Unit,1 B/R,160000.0,2050000.0,1704777.0,69.46
Al Kifaf,Unit,2 B/R,1835777.0,4000000.0,2354777.0,107.77
Al Kifaf,Unit,3 B/R,2900000.0,8323619.0,3338277.0,151.65
Al Kifaf,Unit,4 B/R,4356777.0,5342777.0,4442777.0,189.39
Al Merkadh,Unit,1 B/R,842000.0,2221045.0,1591800.0,72.945
Al Merkadh,Unit,2 B/R,1725000.0,3964800.0,2642300.0,115.97
Al Merkadh,Unit,3 B/R,1950000.0,9273800.0,4377800.0,184.19
Al Merkadh,Unit,4 B/R,12553800.0,12603800.0,12553800.0,419.02
Al Qusais Industrial Fourth,Unit,1 B/R,410000.0,490000.0,450000.0,58.69
Al Satwa,Unit,1 B/R,891306.0,2188321.5,1293552.23,69.36
Al Satwa,Unit,2 B/R,1665314.0,2836350.0,1840401.85,93.45
Al Satwa,Unit,Studio,756101.0,1220000.0,1030000.0,36.86
Al Thanyah Fifth,Unit,1 B/R,1718828.0,2768828.0,2347828.0,87.37
Al Thanyah Fifth,Unit,2 B/R,2515828.0,4463828.0,3684828.0,147.72
Al Thanyah Fifth,Unit,3 B/R,4472828.0,6532828.0,5268828.0,198.22
Al Thanyah Fifth,Unit,4 B/R,28601828.0,28601828.0,28601828.0,878.53
Al Thanyah Fifth,Unit,Studio,1058828.0,1478828.0,1295828.0,51.1
Al Thanyah Third,Building,3 B/R,4975000.0,4975000.0,4975000.0,269.89
Al Wasl,Unit,1 B/R,1059000.0,2993000.0,2209000.0,74.55
Al Wasl,Unit,2 B/R,195200.0,5336000.0,3528000.0,114.12
Al Wasl,Unit,3 B/R,4679000.0,11779000.0,6222500.0,200.21
Al Wasl,Unit,4 B/R,8853000.0,19527000.0,13360500.0,356.425
Al Wasl,Unit,5 B/R,13585500.0,39560000.0,29665000.0,798.77
Al Wasl,Unit,Studio,500000.0,750000.0,588000.0,23.12
Al Yelayiss 2,Building,3 B/R,1815888.0,2770000.0,2300000.0,187.92
Al Yelayiss 2,Building,4 B/R,1950888.0,3600000.0,2825000.0,268.54
Al Yelayiss 2,Unit,1 B/R,680000.0,1100888.0,846888.0,61.87
Al Yelayiss 2,Unit,2 B/R,854444.0,1848888.0,1285888.0,95.66
Al Yelayiss 2,Unit,3 B/R,1400000.0,2900888.0,1695388.0,141.82
Al Yelayiss 2,Unit,Studio,460888.0,540888.0,525888.0,30.95
Al Yufrah 1,Building,3 B/R,500000.0,3930888.0,2765888.0,180.0
Al Yufrah 1,Building,4 B/R,270000.0,5077888.0,3428888.0,314.96000000000004
Al Yufrah 1,Building,5 B/R,4770001.0,6235888.0,5406888.0,459.55
BARSHA HEIGHTS,Unit,1 B/R,700000.0,1646700.0,1028939.6,54.98
BARSHA HEIGHTS,Unit,2 B/R,900000.0,2173630.0,1500000.0,121.45
BARSHA HEIGHTS,Unit,3 B/R,1880000.0,2400000.0,2000000.0,203.42
BARSHA HEIGHTS,Unit,Office,350000.0,4460308.0,1547000.0,138.62
BARSHA HEIGHTS,Unit,Studio,300000.0,1800000.0,793772.0,30.369999999999997
BLUEWATERS,Unit,1 B/R,3000000.0,6500000.0,4975000.0,107.18
BLUEWATERS,Unit,2 B/R,375000.0,11286000.0,7800000.0,154.16
BLUEWATERS,Unit,3 B/R,9000000.0,16250000.0,12200000.0,194.84
BLUEWATERS,Unit,4 B/R,600000.0,29800000.0,21950000.0,410.75
BLUEWATERS,Unit,5 B/R,50000000.0,50000000.0,50000000.0,873.76
BURJ KHALIFA,Unit,1 B/R,51615.73,5758370.0,2126404.0,78.66
BURJ KHALIFA,Unit,2 B/R,44540.37,20724154.0,3575000.0,128.02
BURJ KHALIFA,Unit,3 B/R,228208.81,34293804.0,5600000.0,170.76
BURJ KHALIFA,Unit,4 B/R,3765500.0,80000000.0,16800000.0,343.72
BURJ KHALIFA,Unit,5 B/R,14300000.0,48000000.0,20732272.5,528.425
BURJ KHALIFA,Unit,6 B/R,13250000.0,65000000.0,39550000.0,677.72
BURJ KHALIFA,Unit,Office,3907017.0,26635775.0,12522500.0,317.64
BURJ KHALIFA,Unit,Shop,5341276.0,17780000.0,5535925.0,102.86
BURJ KHALIFA,Unit,Studio,14749.3,2600000.0,1330000.0,43.62
BUSINESS BAY,Unit,1 B/R,23647.43,4952380.95,1634944.0,71.595
BUSINESS BAY,Unit,2 B/R,81415.3,26500000.0,2532046.0,121.97
BUSINESS BAY,Unit,3 B/R,1338346.0,110100000.0,4361828.0,181.02
BUSINESS BAY,Unit,4 B/R,2400000.0,91350000.0,7443000.0,407.66
BUSINESS BAY,Unit,5 B/R,9000000.0,139000000.0,45665000.0,1223.07
BUSINESS BAY,Unit,6 B/R,16000000.0,58000000.0,26300000.0,642.38
BUSINESS BAY,Unit,Office,106391.86,23772808.0,1380557.0,94.39
BUSINESS BAY,Unit,PENTHOUSE,2000000.0,8300000.0,3300000.0,213.58
BUSINESS BAY,Unit,Shop,310650.0,9100000.0,1702084.0,96.06
BUSINESS BAY,Unit,Studio,24845.72,6784000.0,1147039.0,38.71
Bukadra,Unit,1 B/R,1020000.0,2429675.0,1663552.0,64.93
Bukadra,Unit,2 B/R,2021731.0,4243549.0,2494756.0,97.75
Bukadra,Unit,3 B/R,3435180.0,4487867.0,3971868.0,154.07
Business Bay,Unit,1 B/R,1000000.0,2950000.0,2000000.0,71.5
Business Bay,Unit,2 B/R,1709160.0,4520000.0,3321500.0,138.35500000000002
Business Bay,Unit,3 B/R,5310000.0,6606000.0,5723000.0,205.07
Business Bay,Unit,Studio,908151.0,1888888.0,1400000.0,50.62
CHERRYWOODS,Building,3 B/R,2250000.0,3275000.0,2700000.0,180.1
CHERRYWOODS,Building,4 B/R,1000000.0,4050000.0,3565000.0,252.01999999999998
CITY OF ARABIA,Unit,1 B/R,440000.0,1570000.0,1038860.0,73.96
CITY OF ARABIA,Unit,2 B/R,850000.0,2146000.0,1609180.0,132.37
CITY OF ARABIA,Unit,Studio,570000.0,903000.0,761500.0,54.87
CITY WALK,Unit,1 B/R,1570000.0,3200000.0,2200000.0,91.38
CITY WALK,Unit,2 B/R,58010.64,6100000.0,3700000.0,161.99
CITY WALK,Unit,3 B/R,1456.22,12300000.0,5275000.0,216.57
CITY WALK,Unit,4 B/R,4810000.0,23000000.0,9250000.0,391.96
DAMAC HILLS,Unit,1 B/R,284000.0,2040000.0,1063060.0,62.68
DAMAC HILLS,Unit,2 B/R,780000.0,3105000.0,1793710.0,120.03
DAMAC HILLS,Unit,3 B/R,1650000.0,3750000.0,2310500.0,194.22000000000003
DAMAC HILLS,Unit,Studio,240000.0,1074760.0,540000.0,38.28
DISCOVERY GARDENS,Unit,1 B/R,130511.58,1100000.0,650000.0,89.0
DISCOVERY GARDENS,Unit,2 B/R,1000000.0,1355832.58,1138334.25,130.87
DISCOVERY GARDENS,Unit,Studio,55192.0,600000.0,435000.0,45.0
DMCC-EZ2,Unit,Single Room,150000.0,150000.0,150000.0,11.33
DOWN TOWN JABAL ALI,Unit,1 B/R,230000.0,1168407.0,957442.0,72.6
DOWN TOWN JABAL ALI,Unit,2 B/R,610000.0,1685113.0,1522232.5,107.92
DOWN TOWN JABAL ALI,Unit,3 B/R,791660.0,2312917.0,1412353.0,142.82999999999998
DOWN TOWN JABAL ALI,Unit,Shop,868916.0,899655.0,884285.5,27.245
DOWN TOWN JABAL ALI,Unit,Studio,200000.0,661060.0,574981.5,34.4
DUBAI CREEK HARBOUR,Unit,1 B/R,276000.0,3916888.0,1706888.0,65.87
DUBAI CREEK HARBOUR,Unit,2 B/R,46628.0,7000000.0,2760888.0,108.22
DUBAI CREEK HARBOUR,Unit,3 B/R,20000.0,9000000.0,3712398.5,154.83
DUBAI CREEK HARBOUR,Unit,4 B/R,2000000.0,11000000.0,7275000.0,277.935
DUBAI CREEK HARBOUR,Unit,5 B/R,18836888.0,18836888.0,18836888.0,761.39
DUBAI DESIGN DISTRICT,Unit,1 B/R,1704205.0,2764000.0,2205500.0,75.565
DUBAI DESIGN DISTRICT,Unit,2 B/R,2650000.0,3548000.0,3380000.0,110.06
DUBAI DESIGN DISTRICT,Unit,3 B/R,3400000.0,8276000.0,4370000.0,143.7
DUBAI GOLF CITY,Building,4 B/R,3300000.0,4700000.0,3900000.0,290.76
DUBAI HARBOUR,Unit,1 B/R,1366667.0,4526888.0,2800000.0,70.72
DUBAI HARBOUR,Unit,2 B/R,2475000.0,8135888.0,5000000.0,120.23
DUBAI HARBOUR,Unit,3 B/R,700000.0,15000000.0,7500000.0,173.11
DUBAI HARBOUR,Unit,4 B/R,7498888.0,32000000.0,13600000.0,251.945
DUBAI HARBOUR,Unit,5 B/R,33650888.0,33650888.0,33650888.0,488.38
DUBAI HEALTHCARE CITY - PHASE 1,Unit,Studio,7123.0,1250000.0,940000.0,57.14
DUBAI HEALTHCARE CITY - PHASE 2,Unit,1 B/R,558000.0,3600000.0,1200000.0,63.16
DUBAI HEALTHCARE CITY - PHASE 2,Unit,2 B/R,619520.0,5800000.0,1743825.0,115.94
DUBAI HEALTHCARE CITY - PHASE 2,Unit,3 B/R,800000.07,11000000.0,2005000.0,178.87
DUBAI HEALTHCARE CITY - PHASE 2,Unit,Studio,420000.0,2525000.0,660000.0,33.74
DUBAI HILLS,Building,3 B/R,2400000.0,9100000.0,4100000.0,199.335
DUBAI HILLS,Building,4 B/R,2000000.0,11725000.0,4700000.0,277.555
DUBAI HILLS,Building,5 B/R,4000000.0,6200000.0,5300000.0,292.78
DUBAI HILLS,Unit,1 B/R,690444.0,2334828.0,1550000.0,67.07
DUBAI HILLS,Unit,2 B/R,12850.0,4200000.0,2463388.0,103.965
DUBAI HILLS,Unit,3 B/R,1300000.0,6285888.0,3791888.0,143.54
DUBAI HILLS,Unit,4 B/R,6113828.0,6223828.0,6168828.0,225.385
DUBAI HILLS,Unit,Studio,667547.0,1190000.0,1000000.0,38.48
DUBAI INDUSTRIAL CITY,Building,1 B/R,420000.0,600000.0,560000.0,56.52
DUBAI INDUSTRIAL CITY,Building,2 B/R,900000.0,1449828.0,1085455.0,151.06
DUBAI INDUSTRIAL CITY,Building,3 B/R,780000.0,1200000.0,927500.0,135.235
DUBAI INDUSTRIAL CITY,Building,4 B/R,1400000.0,1400000.0,1400000.0,355.71
DUBAI INDUSTRIAL CITY,Unit,1 B/R,508840.68,1000119.0,782695.0,69.91
DUBAI INDUSTRIAL CITY,Unit,2 B/R,755510.0,1457444.0,1050357.0,92.16
DUBAI INDUSTRIAL CITY,Unit,Studio,315402.52,620867.0,433850.0,39.16
DUBAI INVESTMENT PARK FIRST,Building,3 B/R,708750.0,5400000.0,4560000.0,375.0
DUBAI INVESTMENT PARK FIRST,Building,4 B/R,818598.0,9310000.0,5000000.0,839.765
DUBAI INVESTMENT PARK FIRST,Building,5 B/R,7500000.0,9250000.0,8200000.0,1137.81
DUBAI INVESTMENT PARK FIRST,Unit,1 B/R,405000.0,1450000.0,800000.0,69.22
DUBAI INVESTMENT PARK FIRST,Unit,2 B/R,952782.6,2200000.0,1161649.82,103.77
DUBAI INVESTMENT PARK FIRST,Unit,3 B/R,1331254.94,3325000.0,1529295.2200000002,138.43
DUBAI INVESTMENT PARK FIRST,Unit,4 B/R,3250000.0,3250000.0,3250000.0,467.63
DUBAI INVESTMENT PARK FIRST,Unit,Office,155000.0,1783580.0,500000.0,110.1
DUBAI INVESTMENT PARK FIRST,Unit,Shop,250000.0,915000.0,605000.0,134.49
DUBAI INVESTMENT PARK FIRST,Unit,Studio,385000.0,515000.0,445000.0,47.25
DUBAI INVESTMENT PARK SECOND,Unit,1 B/R,390000.0,580000.0,430000.0,78.38499999999999
DUBAI INVESTMENT PARK SECOND,Unit,2 B/R,700000.0,1000000.0,821234.95,143.29
DUBAI INVESTMENT PARK SECOND,Unit,3 B/R,915000.0,1520000.0,1236239.0,241.86
DUBAI INVESTMENT PARK SECOND,Unit,Office,330000.0,330000.0,330000.0,45.56
DUBAI INVESTMENT PARK SECOND,Unit,Studio,150000.0,427939.39,319000.0,44.82
DUBAI LAND RESIDENCE COMPLEX,Unit,1 B/R,380000.0,1219097.52,872927.03,74.86
DUBAI LAND RESIDENCE COMPLEX,Unit,2 B/R,200000.0,2400000.0,1035000.0,113.86
DUBAI LAND RESIDENCE COMPLEX,Unit,3 B/R,800000.0,2604042.0,1366118.88,138.34
DUBAI LAND RESIDENCE COMPLEX,Unit,Shop,2400000.0,3500000.0,3300000.0,240.53
DUBAI LAND RESIDENCE COMPLEX,Unit,Studio,175000.0,966389.0,604311.3,39.75
DUBAI MARINA,Building,3 B/R,6400000.0,8000000.0,6500000.0,310.54
DUBAI MARINA,Unit,1 B/R,2066.61,3670000.0,1550000.0,78.49
DUBAI MARINA,Unit,2 B/R,90518.45,8098000.0,2572500.0,129.2
DUBAI MARINA,Unit,3 B/R,89801.68,15500000.0,3752000.0,199.38
DUBAI MARINA,Unit,4 B/R,1700000.0,28563000.0,6500000.0,308.99
DUBAI MARINA,Unit,5 B/R,6943609.0,108830000.0,13000000.0,648.65
DUBAI MARINA,Unit,Office,5649220.04,11500000.0,8475000.0,336.48
DUBAI MARINA,Unit,PENTHOUSE,2800000.0,11000000.0,5557423.0,316.24
DUBAI MARINA,Unit,Shop,935503.0,13510280.0,3253004.0,231.51
